domain,framework,condition_id,threshold,risk_numerator,risk_denominator,risk_value,coverage_numerator,coverage_denominator,coverage_value,accepted_count,fixed_operating_point,source_artifact_sha256
supportlab,autogen,b5_deterministic_qwen,1.000000,0,0,,0,100,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b0_no_verifier,0.000000,79,99,0.797980,99,99,1.000000,99,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b0_no_verifier,1.000000,79,99,0.797980,99,99,1.000000,99,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b1_deterministic,0.000000,24,99,0.242424,99,99,1.000000,99,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b1_deterministic,1.000000,24,99,0.242424,99,99,1.000000,99,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b2_deepseek_shared,0.000000,66,99,0.666667,99,99,1.000000,99,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b2_deepseek_shared,1.000000,66,99,0.666667,99,99,1.000000,99,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b3_deepseek_isolated,0.000000,43,99,0.434343,99,99,1.000000,99,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b3_deepseek_isolated,1.000000,43,99,0.434343,99,99,1.000000,99,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b4_qwen_isolated,0.000000,0,0,,0,99,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b4_qwen_isolated,1.000000,0,0,,0,99,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b5_deterministic_qwen,0.000000,0,0,,0,99,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b5_deterministic_qwen,1.000000,0,0,,0,99,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
